X,Modes,Dimension1,Dimension2,Dimension3,Distribution,Densities,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,O,H2O,P2O5,ZrO2,CO2,SO3,Li2O,ThO2,BaO,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,Y2O3,F,Sb2O3,CuO,Au2O,Ag2O,As2O3,SnO2,Sc2O3,UO2,V2O5,WO3,ZnO,SrO,BeO,PbO,Rb2O,Cs2O,Nb2O5,B2O3
Lawsonite,0,0,0,0,h,3.09,38.24,0,32.45,0,0,0,0,0,17.85,0,0,0,11.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidolite,0,0.5,0.5,0.5,h,2.84,61.89,0,13.13,0,0,0,0,0,0,0,12.13,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limonite,0,0,0,0,h,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnesite,0,0,0,0,h,3,0,0,0,0,0,0,0,47.8,0,0,0,0,0,0,0,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malachite,0,0,0,0,h,3.6,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcasite,0,0,0,0,h,4.89,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molybdenite,0,0,0,0,h,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monazite,0,0.005,0.005,0.005,h,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1897,0,0,0,0,0,0,0,69.8103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muscovite,0,0.02,0.02,0.002,h,2.83,45.4384,0,38.5538,0,0,0,0,0,0,0.7812,10.6853,0,4.5413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natrolite,0,0,0,0,h,2.25,47.41,0,26.82,0,0,0,0,0,0,16.3,0,0,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepheline,0,0,0,0,h,2.64,41.8224,0,35.4857,0,0,0,0,0,0,19.4135,3.2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivine,0,0,0,0,h,3.5,40.8734,0,0,0,0,9.7747,0,49.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opal,0,0,0,0,h,2.09,68.98,0,0,0,0,0,0,0,0,0,0,0,31.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opx,0,0,0,0,h,3.34,56.3132,0,0,0,0,13.467,0,30.2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paragonite,0,0,0,0,h,2.78,47.16,0,40.02,0,0,0,0,0,0,8.11,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pentlandite,0,1,1,1,h,2.42,78.56,0,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perovskite,0,0,0,0,h,4,0,58.75,0,0,0,0,0,0,41.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petalite,0,0,0,0,h,2.42,78.56,0,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlogopite,0,0,0,0,h,2.7,42.99,0,12.16,0,0,0,0,28.84,0,0,11.23,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollucite,0,1.007,1.007,1.007,h,2.9,44.27,0,16.1,0,0,0,0,0,0,2.17,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,29.66,0,0
Prehnite,0,0,0,0,h,2.87,45.59,0,25.79,0,0,0,0,0,28.37,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyrite,0,0,0,0,h,5.01,0,0,0,0,0,30.97216642,0,0,0,0,0,0,0,0,0,0,69.02783358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyrochlore,0,0,0,0,h,4.2,0,0,0,0,0,0,0,0,7.92,13.14,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.12,0
Pyrrhotite,0,0,0,0,h,4.69,0,0,0,0,0,47.2957992,0,0,0,0,0,0,0,0,0,0,52.7042008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutile,0,0.005,0.005,0.005,h,4.25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schorl,0,0,0,0,h,3,34.47,0.16,31.82,0,0,13.2,0.9,0.08,0,2.35,0.05,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,10.15
Siderite,0,0,0,0,h,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sillimanite,0,0,0,0,h,3.24,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silver,0,0,0,0,h,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skutterudite,0,0,0,0,h,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.24613378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.75386622,0,0,0,0,0,0,0,0,0,0,0,0,0
Smithsonite,0,0,0,0,h,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
Sodalite,0,0,0,0,h,2.29,37.2,0,31.56,0,0,0,0,0,0,25.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
